"KINDPATENT","Patents Office & Patents Families","KINDCOUNTRY","Reference country","LOCATION","Country","IPC","Technology domains & IPC","KINDDATE","Reference Date","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUS","Australia","TOTAL","Total Patents","APPLICATION","Application date","1999","1999","NBR","Number","0","Units","2017","2017",1163.4786,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUS","Australia","TOTAL","Total Patents","APPLICATION","Application date","2000","2000","NBR","Number","0","Units","2017","2017",1618.8425,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUS","Australia","TOTAL","Total Patents","APPLICATION","Application date","2001","2001","NBR","Number","0","Units","2017","2017",1724.7763,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUS","Australia","TOTAL","Total Patents","APPLICATION","Application date","2002","2002","NBR","Number","0","Units","2017","2017",1794.8301,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUS","Australia","TOTAL","Total Patents","APPLICATION","Application date","2003","2003","NBR","Number","0","Units","2017","2017",1774.1889,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUS","Australia","TOTAL","Total Patents","APPLICATION","Application date","2004","2004","NBR","Number","0","Units","2017","2017",1907.2198,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUS","Australia","TOTAL","Total Patents","APPLICATION","Application date","2005","2005","NBR","Number","0","Units","2017","2017",2064.0845,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUS","Australia","TOTAL","Total Patents","APPLICATION","Application date","2006","2006","NBR","Number","0","Units","2017","2017",2066.8347,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUS","Australia","TOTAL","Total Patents","APPLICATION","Application date","2007","2007","NBR","Number","0","Units","2017","2017",2094.2374,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUS","Australia","TOTAL","Total Patents","APPLICATION","Application date","2008","2008","NBR","Number","0","Units","2017","2017",1992.2578,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUS","Australia","TOTAL","Total Patents","APPLICATION","Application date","2009","2009","NBR","Number","0","Units","2017","2017",1826.1587,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUS","Australia","TOTAL","Total Patents","APPLICATION","Application date","2010","2010","NBR","Number","0","Units","2017","2017",1852.8392,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUS","Australia","TOTAL","Total Patents","APPLICATION","Application date","2011","2011","NBR","Number","0","Units","2017","2017",1759.9699,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUS","Australia","TOTAL","Total Patents","APPLICATION","Application date","2012","2012","NBR","Number","0","Units","2017","2017",1782.8143,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUS","Australia","TOTAL","Total Patents","APPLICATION","Application date","2013","2013","NBR","Number","0","Units","2017","2017",1757.3428,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUS","Australia","TOTAL","Total Patents","APPLICATION","Application date","2014","2014","NBR","Number","0","Units","2017","2017",1794.2679,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUS","Australia","TOTAL","Total Patents","APPLICATION","Application date","2015","2015","NBR","Number","0","Units","2017","2017",1814.0976,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUS","Australia","TOTAL","Total Patents","APPLICATION","Application date","2016","2016","NBR","Number","0","Units","2017","2017",1915.2151,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUS","Australia","TOTAL","Total Patents","APPLICATION","Application date","2017","2017","NBR","Number","0","Units","2017","2017",1924.574,,
"PCT_A","Patent applications filed under the PCT","INVENTORS","Inventor(s)'s country(ies) of residence","AUS","Australia","TOTAL","Total Patents","APPLICATION","Application date","2018","2018","NBR","Number","0","Units","2017","2017",1895.2707,,
