country,iso2c,iso3c,year,GDP_pc
Austria,AT,AUT,2021,45238.3907144733
Austria,AT,AUT,2020,43455.7000665738
Austria,AT,AUT,2019,46647.0809634335
Austria,AT,AUT,2018,46154.6250956541
Austria,AT,AUT,2017,45281.723399938
Austria,AT,AUT,2016,44590.2516278164
Austria,AT,AUT,2015,44195.8175947748
Austria,AT,AUT,2014,44245.1687398338
Austria,AT,AUT,2013,44299.3781845446
Austria,AT,AUT,2012,44549.881698231
Austria,AT,AUT,2011,44451.0001918473
Austria,AT,AUT,2010,43334.5089644691
Austria,AT,AUT,2009,42655.1921304813
Austria,AT,AUT,2008,44440.055889928
Austria,AT,AUT,2007,43937.7128905744
Austria,AT,AUT,2006,42496.3510516831
Austria,AT,AUT,2005,41281.2707559522
Austria,AT,AUT,2004,40651.2266155811
Austria,AT,AUT,2003,39815.2219533064
Austria,AT,AUT,2002,39636.4826114521
Austria,AT,AUT,2001,39184.8085972636
Austria,AT,AUT,2000,38842.8905195831
Austria,AT,AUT,1999,37664.9432792116
Austria,AT,AUT,1998,36442.2882333384
Austria,AT,AUT,1997,35220.8877426259
Austria,AT,AUT,1996,34537.7395746518
Austria,AT,AUT,1995,33790.4849857504
Austria,AT,AUT,1994,32962.8174189767
Austria,AT,AUT,1993,32313.7118722637
Austria,AT,AUT,1992,32410.53977326
Austria,AT,AUT,1991,32097.2410936755
Austria,AT,AUT,1990,31340.6812927165
Austria,AT,AUT,1989,30265.1932308117
Austria,AT,AUT,1988,29264.3235778252
Austria,AT,AUT,1987,28370.7178819139
Austria,AT,AUT,1986,28008.5545890344
Austria,AT,AUT,1985,27395.8726479906
Austria,AT,AUT,1984,26740.5772417596
Austria,AT,AUT,1983,26725.1907228527
Austria,AT,AUT,1982,25911.6609400039
Austria,AT,AUT,1981,25419.0096476102
Austria,AT,AUT,1980,25520.74055574
Austria,AT,AUT,1979,25086.400193858
Austria,AT,AUT,1978,23770.3662432365
Austria,AT,AUT,1977,23801.2675449624
Austria,AT,AUT,1976,22659.317777419
Austria,AT,AUT,1975,21629.0463028275
Austria,AT,AUT,1974,21650.4867976498
Austria,AT,AUT,1973,20864.8474583279
Austria,AT,AUT,1972,20002.5561105758
Austria,AT,AUT,1971,18943.1811467755
Austria,AT,AUT,1970,18101.9919477322
Austria,AT,AUT,1969,17085.3299659169
Austria,AT,AUT,1968,16132.0095204536
Austria,AT,AUT,1967,15521.8096470115
Austria,AT,AUT,1966,15181.5887613761
Austria,AT,AUT,1965,14471.8213231195
Austria,AT,AUT,1964,14076.2761631952
Austria,AT,AUT,1963,13352.6511315776
Austria,AT,AUT,1962,12904.669883596
Austria,AT,AUT,1961,12648.9746969392
Austria,AT,AUT,1960,12051.1511700385
Belgium,BE,BEL,2021,42901.4320595797
Belgium,BE,BEL,2020,40612.3924560653
Belgium,BE,BEL,2019,43098.4847198889
Belgium,BE,BEL,2018,42382.3182763247
Belgium,BE,BEL,2017,41825.7628316432
Belgium,BE,BEL,2016,41318.0196388476
Belgium,BE,BEL,2015,41008.296719472
Belgium,BE,BEL,2014,40421.4207919096
Belgium,BE,BEL,2013,39970.3174974794
Belgium,BE,BEL,2012,39975.5736402458
Belgium,BE,BEL,2011,39929.0951439359
Belgium,BE,BEL,2010,39777.9252767366
Belgium,BE,BEL,2009,39025.2207908291
Belgium,BE,BEL,2008,40151.8498740394
Belgium,BE,BEL,2007,40290.2277563956
Belgium,BE,BEL,2006,39147.7635597291
